location,camera,direction,time,car_5min,motorbike_5min,bus_5min,truck_5min,total_vehicles_5min,hour,minute,time_slot,is_morning_peak,is_evening_peak,previous_5min_volume,rolling_15min_volume
AlankarChowk,a2,UP,2026-09-10 07:05:00,33,46,4,7,90,7,5,07:05-10,0,0,91,90.5
AlankarChowk,a2,UP,2026-09-10 07:10:00,30,42,4,14,90,7,10,07:10-15,0,0,90,90.33
AlankarChowk,a2,UP,2026-09-10 07:15:00,32,43,6,11,92,7,15,07:15-20,0,0,90,90.67
AlankarChowk,a2,UP,2026-09-10 07:20:00,27,48,7,11,93,7,20,07:20-25,0,0,92,91.67
AlankarChowk,a2,UP,2026-09-10 07:25:00,32,51,5,12,100,7,25,07:25-30,0,0,93,95.0
AlankarChowk,a2,UP,2026-09-10 07:30:00,29,45,8,15,97,7,30,07:30-35,0,0,100,96.67
AlankarChowk,a2,UP,2026-09-10 07:35:00,32,45,7,6,90,7,35,07:35-40,0,0,97,95.67
AlankarChowk,a2,UP,2026-09-10 07:40:00,25,36,6,8,75,7,40,07:40-45,0,0,90,87.33
AlankarChowk,a2,UP,2026-09-10 07:45:00,32,44,6,6,88,7,45,07:45-50,0,0,75,84.33
AlankarChowk,a2,UP,2026-09-10 07:50:00,29,43,4,15,91,7,50,07:50-55,0,0,88,84.67
AlankarChowk,a2,UP,2026-09-10 07:55:00,27,43,5,15,90,7,55,07:55-00,0,0,91,89.67
AlankarChowk,a2,UP,2026-09-10 08:00:00,44,69,8,20,141,8,0,08:00-05,1,0,90,107.33
AlankarChowk,a2,UP,2026-09-10 08:05:00,49,74,10,7,140,8,5,08:05-10,1,0,141,123.67
AlankarChowk,a2,UP,2026-09-10 08:10:00,51,73,13,19,156,8,10,08:10-15,1,0,140,145.67
AlankarChowk,a2,UP,2026-09-10 08:15:00,55,82,12,13,162,8,15,08:15-20,1,0,156,152.67
AlankarChowk,a2,UP,2026-09-10 08:20:00,47,75,9,26,157,8,20,08:20-25,1,0,162,158.33
AlankarChowk,a2,UP,2026-09-10 08:25:00,42,64,11,16,133,8,25,08:25-30,1,0,157,150.67
AlankarChowk,a2,UP,2026-09-10 08:30:00,51,78,13,12,154,8,30,08:30-35,1,0,133,148.0
AlankarChowk,a2,UP,2026-09-10 08:35:00,45,70,8,18,141,8,35,08:35-40,1,0,154,142.67
AlankarChowk,a2,UP,2026-09-10 08:40:00,52,70,9,9,140,8,40,08:40-45,1,0,141,145.0
AlankarChowk,a2,UP,2026-09-10 08:45:00,55,69,10,11,145,8,45,08:45-50,1,0,140,142.0
AlankarChowk,a2,UP,2026-09-10 08:50:00,52,70,12,16,150,8,50,08:50-55,1,0,145,145.0
AlankarChowk,a2,UP,2026-09-10 08:55:00,45,73,9,22,149,8,55,08:55-00,1,0,150,148.0
AlankarChowk,a2,UP,2026-09-10 09:00:00,59,86,8,7,160,9,0,09:00-05,1,0,149,153.0
AlankarChowk,a2,UP,2026-09-10 09:05:00,52,76,10,9,147,9,5,09:05-10,1,0,160,152.0
AlankarChowk,a2,UP,2026-09-10 09:10:00,48,68,9,21,146,9,10,09:10-15,1,0,147,151.0
AlankarChowk,a2,UP,2026-09-10 09:15:00,59,86,9,8,162,9,15,09:15-20,1,0,146,151.67
AlankarChowk,a2,UP,2026-09-10 09:20:00,52,75,8,6,141,9,20,09:20-25,1,0,162,149.67
AlankarChowk,a2,UP,2026-09-10 09:25:00,51,75,8,14,148,9,25,09:25-30,1,0,141,150.33
AlankarChowk,a2,UP,2026-09-10 09:30:00,51,77,7,14,149,9,30,09:30-35,1,0,148,146.0
AlankarChowk,a2,UP,2026-09-10 09:35:00,40,65,11,19,135,9,35,09:35-40,1,0,149,144.0
AlankarChowk,a2,UP,2026-09-10 09:40:00,49,78,13,22,162,9,40,09:40-45,1,0,135,148.67
AlankarChowk,a2,UP,2026-09-10 09:45:00,41,71,9,13,134,9,45,09:45-50,1,0,162,143.67
AlankarChowk,a2,UP,2026-09-10 09:50:00,50,84,11,18,163,9,50,09:50-55,1,0,134,153.0
AlankarChowk,a2,UP,2026-09-10 09:55:00,49,78,13,15,155,9,55,09:55-00,1,0,163,150.67
AlankarChowk,a2,UP,2026-09-10 10:00:00,50,70,8,13,141,10,0,10:00-05,1,0,155,153.0
AlankarChowk,a2,UP,2026-09-10 10:05:00,57,73,11,10,151,10,5,10:05-10,1,0,141,149.0
AlankarChowk,a2,DOWN,2026-09-10 07:05:00,29,47,5,13,94,7,5,07:05-10,0,0,84,89.0
AlankarChowk,a2,DOWN,2026-09-10 07:10:00,37,47,8,8,100,7,10,07:10-15,0,0,94,92.67
AlankarChowk,a2,DOWN,2026-09-10 07:15:00,30,44,7,14,95,7,15,07:15-20,0,0,100,96.33
AlankarChowk,a2,DOWN,2026-09-10 07:20:00,31,49,6,6,92,7,20,07:20-25,0,0,95,95.67
AlankarChowk,a2,DOWN,2026-09-10 07:25:00,34,49,5,7,95,7,25,07:25-30,0,0,92,94.0
AlankarChowk,a2,DOWN,2026-09-10 07:30:00,32,47,7,11,97,7,30,07:30-35,0,0,95,94.67
AlankarChowk,a2,DOWN,2026-09-10 07:35:00,35,48,5,7,95,7,35,07:35-40,0,0,97,95.67
AlankarChowk,a2,DOWN,2026-09-10 07:40:00,27,46,5,9,87,7,40,07:40-45,0,0,95,93.0
AlankarChowk,a2,DOWN,2026-09-10 07:45:00,31,47,5,12,95,7,45,07:45-50,0,0,87,92.33
AlankarChowk,a2,DOWN,2026-09-10 07:50:00,33,45,6,8,92,7,50,07:50-55,0,0,95,91.33
AlankarChowk,a2,DOWN,2026-09-10 07:55:00,40,49,8,9,106,7,55,07:55-00,0,0,92,97.67
AlankarChowk,a2,DOWN,2026-09-10 08:00:00,53,90,11,17,171,8,0,08:00-05,1,0,106,123.0
AlankarChowk,a2,DOWN,2026-09-10 08:05:00,47,68,7,21,143,8,5,08:05-10,1,0,171,140.0
AlankarChowk,a2,DOWN,2026-09-10 08:10:00,45,60,8,13,126,8,10,08:10-15,1,0,143,146.67
AlankarChowk,a2,DOWN,2026-09-10 08:15:00,63,82,15,8,168,8,15,08:15-20,1,0,126,145.67
AlankarChowk,a2,DOWN,2026-09-10 08:20:00,42,62,11,17,132,8,20,08:20-25,1,0,168,142.0
AlankarChowk,a2,DOWN,2026-09-10 08:25:00,48,71,11,12,142,8,25,08:25-30,1,0,132,147.33
AlankarChowk,a2,DOWN,2026-09-10 08:30:00,58,80,9,13,160,8,30,08:30-35,1,0,142,144.67
AlankarChowk,a2,DOWN,2026-09-10 08:35:00,46,81,8,17,152,8,35,08:35-40,1,0,160,151.33
AlankarChowk,a2,DOWN,2026-09-10 08:40:00,41,64,11,19,135,8,40,08:40-45,1,0,152,149.0
AlankarChowk,a2,DOWN,2026-09-10 08:45:00,48,66,10,15,139,8,45,08:45-50,1,0,135,142.0
AlankarChowk,a2,DOWN,2026-09-10 08:50:00,50,68,7,11,136,8,50,08:50-55,1,0,139,136.67
AlankarChowk,a2,DOWN,2026-09-10 08:55:00,49,79,10,16,154,8,55,08:55-00,1,0,136,143.0
AlankarChowk,a2,DOWN,2026-09-10 09:00:00,51,69,7,16,143,9,0,09:00-05,1,0,154,144.33
AlankarChowk,a2,DOWN,2026-09-10 09:05:00,53,69,12,6,140,9,5,09:05-10,1,0,143,145.67
AlankarChowk,a2,DOWN,2026-09-10 09:10:00,57,74,13,10,154,9,10,09:10-15,1,0,140,145.67
AlankarChowk,a2,DOWN,2026-09-10 09:15:00,49,80,8,14,151,9,15,09:15-20,1,0,154,148.33
AlankarChowk,a2,DOWN,2026-09-10 09:20:00,59,79,11,7,156,9,20,09:20-25,1,0,151,153.67
AlankarChowk,a2,DOWN,2026-09-10 09:25:00,48,61,8,17,134,9,25,09:25-30,1,0,156,147.0
AlankarChowk,a2,DOWN,2026-09-10 09:30:00,41,63,7,24,135,9,30,09:30-35,1,0,134,141.67
AlankarChowk,a2,DOWN,2026-09-10 09:35:00,40,64,9,14,127,9,35,09:35-40,1,0,135,132.0
